"Customer ID","Country","TotalSpent","InvoiceCount","UniqueProducts","TotalQuantity","FirstPurchaseDate","LastPurchaseDate"
18102.0,United Kingdom,598215.22,153,384,187110,"2009-12-01 09:24:00","2011-12-09 11:50:00"
14646.0,Netherlands,523342.07,164,964,365220,"2009-12-02 16:52:00","2011-12-08 12:12:00"
14156.0,EIRE,296564.69,202,1446,163910,"2009-12-01 12:30:00","2011-11-30 10:54:00"
14911.0,EIRE,270248.53,510,2557,143741,"2009-12-01 11:41:00","2011-12-08 15:54:00"
17450.0,United Kingdom,233579.39,61,148,81644,"2010-09-27 16:59:00","2011-12-01 13:29:00"
13694.0,United Kingdom,190825.52,164,902,185442,"2009-12-04 15:26:00","2011-12-06 09:32:00"
17511.0,United Kingdom,171885.98,85,678,117913,"2009-12-02 10:52:00","2011-12-07 10:12:00"
12415.0,Australia,143269.29,33,498,91315,"2010-06-30 08:30:00","2011-11-15 14:22:00"
16684.0,United Kingdom,141502.25,65,186,101095,"2009-12-07 12:56:00","2011-12-05 14:06:00"
15061.0,United Kingdom,136391.48,138,131,79985,"2009-12-01 12:18:00","2011-12-06 12:06:00"
15311.0,United Kingdom,113513.07,270,870,69727,"2009-12-01 11:21:00","2011-12-09 12:00:00"
13089.0,United Kingdom,113214.19,247,859,59243,"2009-12-02 15:44:00","2011-12-07 09:02:00"
17949.0,United Kingdom,98895.59,138,59,54328,"2009-12-02 11:07:00","2011-12-08 18:46:00"
16029.0,United Kingdom,91800.91,125,59,48365,"2009-12-08 11:23:00","2011-11-01 10:27:00"
14298.0,United Kingdom,90489.31,84,1370,99854,"2009-12-11 13:49:00","2011-12-06 15:04:00"
15769.0,United Kingdom,84269.38,51,27,47090,"2009-12-11 09:58:00","2011-12-02 13:52:00"
13798.0,United Kingdom,73573.47,125,173,47410,"2009-12-08 16:21:00","2011-12-08 15:51:00"
15838.0,United Kingdom,73404.11,38,63,45824,"2009-12-15 09:51:00","2011-11-28 14:00:00"
12931.0,United Kingdom,71299.67,71,39,48345,"2009-12-01 11:46:00","2011-11-18 12:39:00"
17841.0,United Kingdom,69516.19,289,2121,37120,"2009-12-02 15:41:00","2011-12-08 12:07:00"
14088.0,United Kingdom,62400.02,20,437,15179,"2010-10-14 19:46:00","2011-11-29 16:16:00"
16422.0,United Kingdom,61110.54,146,114,63084,"2009-12-01 13:52:00","2011-11-22 14:00:00"
13081.0,United Kingdom,58328.15,44,741,41152,"2009-12-08 13:58:00","2011-12-08 13:13:00"
14096.0,United Kingdom,57120.91,34,1121,16335,"2011-08-30 10:49:00","2011-12-05 17:17:00"
